token_address,vol_24h,early_velocity_ratio,early_trade_dominance
0xa50888171980dd1a4a06d6c03c520684c59d60e5,2102883.1402950794,0.5125996493182693,0.003054138756564003
0x70b5fa2c02a63b1a90d23bd8166fa81614b6d463,8446183.603101527,0.3801592973392115,0.0030209679120984604
0x07197f78c3f2d0a4a199dbc442f2187d416e3e88,3360233.060066445,0.34790180875497057,0.004893854181580299
0x650935134f17dd5c36ff470388e4e3403ee6e37a,4323378.896126977,0.9999999999994005,0.017057857669283916
0x812ba41e071c7b7fa4ebcfb62df5f45f6fa853ee,0,0,
0xdbf1703e5d29afefbf1bd958ce7a6023c67f3e5d,0,0,
0xe9eccde9d26fcbb5e93f536cfc4510a7f46274f8,0,0,
0x949c255362e21042b26cf6a6b54cbb218b50090c,665928.109388671,0.32639533934932896,0.007057999104910528
0xeeacc51af745846ddf46012b46c6910ea9b12898,0,0,
0xf3ae5d769e153ef72b4e3591ac004e89f48107a1,0,0,
0xd1e64bcc904cfdc19d0faba155a9edc69b4bcdae,0,0,
0x0ce9dde7927d60b0f2e686e8937c2d44df912b64,547806.8761011241,0.18668154607392862,0.005967897151277968
0xb9241b2b32914cd09ee1bc2043127e0dd6a02420,5608354.076139023,0.9999999805173806,0.009873517848272052
0xb7791dbb881aec084c39fd674318a5386afe956c,3205008.292497984,1,0.015485052419314796
0x5c147e74d63b1d31aa3fd78eb229b65161983b2b,0,0,
0xd96e84ddbc7cbe1d73c55b6fe8c64f3a6550deea,0,0,
0xd7075f79df19c279ba5a9eb04a00474c43a3d73e,1344484.4087908007,0.36605223559904876,0.020106375417858854
0x093334210b876e4b489f8383bb0ccf0bba9a205b,3578176.345886735,0.9970516910461781,0.040082957848101425
0xc3cc6335e0414e49b6df8a3b6cd536b1c4400a47,6842892.385607442,0.9781703488815114,0.0037441357214743364
0x6418c0dd099a9fda397c766304cdd918233e8847,0.093824,3.179127981660596e-8,1
0x91af0fbb28aba7e31403cb457106ce79397fd4e6,0,0,
0xc114cf69972e3c1b4b529e0418012c01fcf9e725,503344.04176208784,0.03220958380341555,0.008601582346473534
0x6085ef8f41c6a1006c6689620546b46f0d82f03c,99.9973,0.00003375489459394011,1
0xdfdb7f72c1f195c5951a234e8db9806eb0635346,0,0,
0x25f8087ead173b73d6e8b84329989a8eea16cf73,0,0,
0xefd0dc4d14cd931c5f91221245c41c81ae81bf64,2174979.4698499013,1,0.015341399319746273
0x9fd7466f987fd4c45a5bbde22ed8aba5bc8d72d1,4.9981599999999995,5.833419608830895e-7,1
0xde4ee8057785a7e8e800db58f9784845a5c2cbd6,0,0,
0x01ba69727e2860b37bc1a2bd56999c1afb4c15d8,2.259735573114124,2.864666298849285e-7,1
0x10dc28e0458e824c8ccc9baa3880aaff7704ebc6,2861631.324539189,0.9840260408209401,0.0063493853468094335
0x553846c6870d4ec4915ff55527dc174d14a05f80,2973496.4850623026,0.9999452700424495,0.00764386186283683
0x6c9a85c24418217e7f1f50aafff8c17dd7835e79,2783342.6612723405,1,0.021152495910671892
0x47a671097f250b569c91fd9cb2eeb43884a64987,2346732.7086455966,1,0.04499116619192377
0xdf8afabaccffa9ffa77f27139b32f8ec59fe6391,0,0,
0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,0,0,
0x473bcd6ee71d2ca1d18f8e74cdf75beb4999fa7e,42205.015042105464,0.004431971742291875,0.46027705429366206
0xb0ac2b5a73da0e67a8e5489ba922b3f8d582e058,0,0,
